Location ID,Country,Country description,Country ID,Forecast Type,Geo Latitude,Geo Longitude,Holding Cost Percentage,Intl/Dom Ind,Location Business Partner ID,Location,Location Region,Location Type,Location Validity,Order Timing,Replaced by Customer,Sales Area,Sales Divison,Sales Domain,Sales Region,Sales Region Code,State,State description,Demand State,Supplying Location
0000427100,US,USA,,S,,,,D,,CAZANOVE OPICI WINE CORP,NY,DIST,,SI,,Northern Area,Dom2 New York Division,Domestic,Dom2 NorthEast Region,55,NY,New York,UNY,1151
0000427423,0000204006,ONTARIO  CANADA,,S,,,,I,,ONTARIO LIQUOR CONTROL BOARD,ON,DIST,,SI,,Americas Area,Intl51  Eastern Canada Div,International,Intl3 Canada Region,68,0000204006,ONTARIO  CANADA,,8009
0000427789,US,USA,,S,,,,D,,EMPIRE MERCHANTS LLC,NY,DIST,,SI,,Northern Area,Dom2 New York Division,Domestic,Dom2 NorthEast Region,55,NY,New York,MNY,8009
0000427937,US,USA,,S,,,,D,,EMPIRE MERCHANTS NORTH LLC,NY,DIST,,SI,,Northern Area,Dom2 New York Division,Domestic,Dom2 NorthEast Region,55,NY,New York,UNY,1125
0000428010,US,USA,,S,,,,D,,CVS LA HABRA DISTRIBUTION CENTER,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,SoCAL,1151
0000428061,US,USA,,S,,,,D,,CHERRY POINT MCAS  205,NC,DIST,,SI,,Military Area,Dom6 Military Domestic,Domestic,Dom6 Dom Military Region,17,NC,North Carolina,NC,8009
0000428468,0000204006,ONTARIO  CANADA,,S,,,,I,,LIQUOR CONTROL BOARD OF ONTARIO,ON,DIST,,SI,,Americas Area,Intl51  Eastern Canada Div,International,Intl3 Canada Region,68,0000204006,ONTARIO  CANADA,,8009
0000428558,0000204006,ONTARIO  CANADA,,S,,,,I,,LONDON ONTARIO LIQUOR CONTROL,ON,DIST,,SI,,Americas Area,Intl51  Eastern Canada Div,International,Intl3 Canada Region,68,0000204006,ONTARIO  CANADA,,1151
0000428559,0000204006,ONTARIO  CANADA,,S,,,,I,,OTTAWA ONTARIO LIQUOR CONTROL,ON,DIST,,SI,,Americas Area,Intl51  Eastern Canada Div,International,Intl3 Canada Region,68,0000204006,ONTARIO  CANADA,,1151
0000428631,US,USA,,S,,,,D,,JOHNSON BROS LIQUOR CO,MN,DIST,,SI,,Northern Area,Dom2 Heartland Division,Domestic,Dom2 MidWest Region,53,MN,Minnesota,MN,8009
0000428918,US,USA,,S,,,,D,,JOHNSON BROTHERS OF NORTH DAKOTA,ND,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,ND,North Dakota,ND,8009
0000428939,US,USA,,S,,,,D,,REPUBLIC NATIONAL,KY,DIST,,SI,,Mega Area,Dom4 Mega East Division,Domestic,Dom4 Mega Region,83,KY,Kentucky,KY,8009
0000429598,0000204006,ONTARIO  CANADA,,S,,,,I,,ONTARIO LIQUOR CONTROL BOARD,ON,DIST,,SI,,Americas Area,Intl51  Eastern Canada Div,International,Intl3 Canada Region,68,0000204006,ONTARIO  CANADA,,8009
0000429771,US,USA,,S,,,,D,,THE LIQUOR DEPOT LLC,WY,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,WY,Wyoming,WY,1151
0000429876,US,USA,,S,,,,D,,ERIE BEER CO,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000429900,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000429901,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000429902,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000430048,0000205022,EL SALVADOR,,S,,,,I,,DISTRIBUIDORA ZABLAH S A  DE C V,,DIST,,SI,,Americas Area,Intl63  Central America Div,International,Intl4 LACM Region,85,,,,8009
0000430389,0000200013,ICELAND,,S,,,,I,,GLOBUS HF,,DIST,,SR,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,1151
0000430476,US,USA,,S,,,,D,,CRAMERTON ABC BOARD  172,NC,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,NC,North Carolina,NC,8009
0000430776,0000200012,DENMARK,,S,,,,I,,DANSKE FRAGTM ND HERNING IKAST,,DIST,,SI,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,8009
0000430777,0000200012,DENMARK,,S,,,,I,,THE RINGSTED TERMINAL,,DIST,,SI,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,2101
0000430780,0000200010,FINLAND,,S,,,,I,,E J GALLO WINERY EUROPE UK,,DIST,,SI,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,8009
0000430839,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000430930,US,USA,,S,,,,D,,DELL RANGE LIQUORS,WY,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,WY,Wyoming,WY,1151
0000430932,US,USA,,S,,,,D,,NORTHRIDGE DISCOUNT LIQUORS,WY,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,WY,Wyoming,WY,8009
0000430986,US,USA,,S,,,,D,,COAST GUARD EXCHANGE,NC,DIST,,SI,,Military Area,Dom6 Military Domestic,Domestic,Dom6 Dom Military Region,17,NC,North Carolina,MIL,1123
0000431111,US,USA,,S,,,,D,,THE LIQUOR STORE OF JACKSON,WY,DIST,,SI,,Mega Area,Dom4 Mega West Division,Domestic,Dom4 Mega Region,83,WY,Wyoming,WY,1151
0000431452,0000200012,DENMARK,,S,,,,I,,HANS JUST A S,,DIST,,SI,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,1151
0000431488,0000200012,DENMARK,,S,,,,I,,DAGROFA LOGISTIK A S,001,DIST,,SI,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,0000200012,DENMARK,,2105
0000431489,0000200012,DENMARK,,S,,,,I,,COOP DANMARK A S,,DIST,,SR,,Europe Area,Intl33  Nordic Div,International,Intl2 Cont Europe Region,24,,,,2101
0000431545,0000200009,SWEDEN,,S,,,,I,,SPRING WINE AND SPIRITS AB,,DIST,,SR,,Europe Area,Intl36  Sweden Div,International,Intl2 Cont Europe Region,24,,,,1151
0000431596,US,USA,,S,,,,D,,WOODFIN ABC BOARD 0171,NC,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,NC,North Carolina,NC,1123
0000431638,US,USA,,S,,,,D,,PENN LCB,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431639,US,USA,,S,,,,D,,GENERAL COMMODITIES COMPANY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431642,US,USA,,S,,,,D,,PENNSYLVANIA LCB,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
0000431645,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,8009
0000431650,US,USA,,S,,,,D,,CAPITAL WINE   SPIRITS LLC MILITARY,PA,DIST,,SI,,Northern Area,Dom2 Liberty Division,Domestic,Dom2 Central Region,56,PA,Pennsylvania,PAS,1125
